100 10 1.16667 0.028 0.003
10 1000 0.706832 0.122 0.075
10 100 0.983408 0.02 0.007
10 10 1.16667 0.011 0
10 2000 0.541064 0.294 0.137
110 10 1.16667 0.02 0.002
120 10 1.16667 0.024 0.002
130 10 1.16667 0.025 0.002
140 10 1.16667 0.03 0.002
150 10 1.16667 0.014 0.001
160 10 1.16667 0.012 0.001
170 10 1.16667 0.01 0.001
180 10 1.16667 0.022 0.002
190 10 1.16667 0.026 0.002
200 10 1.16667 0.028 0.003
20 1000 0.659147 0.121 0.077
20 100 0.963162 0.05 0.006
20 10 1.16667 0.01 0
20 2000 0.496227 0.272 0.129
30 1000 0.625584 0.165 0.077
30 100 0.947315 0.101 0.009
30 10 1.16667 0.009 0
30 2000 0.461848 0.349 0.122
40 1000 0.599144 0.289 0.089
40 100 0.921039 0.221 0.01
40 10 1.16667 0.01 0.001
40 2000 0.435522 0.491 0.123
50 1000 0.548753 0.562 0.078
50 100 0.885437 0.413 0.01
50 10 1.16667 0.013 0.001
50 2000 0.396574 0.728 0.12
60 100 0.849346 0.91 0.01
60 10 1.16667 0.01 0
70 10 1.16667 0.014 0.001
80 10 1.16667 0.014 0.003
90 10 1.16667 0.017 0.003
10 5000 0.351051 1.043 0.259
20 5000 0.324151 1.141 0.265
30 5000 0.30501 1.292 0.265
40 5000 0.291253 1.521 0.265
50 5000 0.264563 1.86 0.264
60 1000 0.52622 1.21 0.085
60 2000 0.374533 1.425 0.129
70 100 0.811284 1.504 0.013
60 5000 0.247397 2.941 0.267
70 1000 0.482753 2.174 0.082
70 2000 0.355432 2.382 0.123
10 10000 0.246556 3.517 0.508
80 1000 0.455763 3.601 0.081
80 100 0.770537 3.1 0.014
20 10000 0.228359 4.376 0.512
30 10000 0.211994 4.205 0.511
40 10000 0.199849 4.99 0.516
70 5000 0.235305 4.277 0.264
80 2000 0.333535 4.104 0.124
80 5000 0.224369 4.927 0.266
100 100 0.656567 5.678 0.014
110 100 0.656567 5.728 0.017
120 100 0.656567 5.796 0.017
130 100 0.656567 5.713 0.017
140 100 0.656567 5.801 0.018
180 100 0.656567 5.999 0.018
190 100 0.656567 5.703 0.016
200 100 0.656567 5.69 0.018
50 10000 0.183814 5.001 0.511
60 10000 0.174657 5.947 0.517
90 100 0.663285 5.339 0.014
150 100 0.656567 6.173 0.017
160 100 0.656567 6.473 0.019
170 100 0.656567 6.332 0.018
90 1000 0.430907 6.101 0.082
90 2000 0.316381 6.389 0.133
70 10000 0.163713 7.958 0.513
90 5000 0.214582 8.28 0.27
100 1000 0.393618 10.323 0.091
80 10000 0.157907 10.524 0.517
100 2000 0.303861 11.911 0.134
100 5000 0.203475 12.766 0.27
90 10000 0.149698 14.654 0.52
110 1000 0.364862 15.23 0.096
110 2000 0.281861 17.088 0.139
110 5000 0.196154 18.657 0.277
10 25000 0.153912 19.477 1.653
20 25000 0.141684 19.71 1.518
110 7500 0.163706 21.613 0.395
110 10000 0.137809 23.974 0.528
100 10000 0.143699 24.216 0.524
120 1000 0.337129 24.872 0.096
120 2000 0.269178 26.806 0.142
120 5000 0.190921 28.462 0.281
50 25000 0.110504 28.741 1.412
120 10000 0.131557 30.946 0.527
120 7500 0.156552 30.485 0.403
70 25000 0.102069 31.873 1.421
10 30000 0.137412 33.928 1.772
30 25000 0.127204 33.374 1.433
130 1000 0.315944 35.089 0.098
130 2000 0.251122 36.766 0.141
40 25000 0.11229 36.069 1.413
20 30000 0.127703 37.4 1.822
60 25000 0.107691 37.138 1.404
130 5000 0.18413 42.903 0.283
30 30000 0.115161 42.906 1.745
90 25000 0.0917123 43.116 1.433
80 25000 0.0975646 44.373 1.412
10 35000 0.126045 46.287 2.122
40 30000 0.100979 46.207 1.692
60 30000 0.0966526 46.063 1.715
130 7500 0.151867 47.22 0.4
50 30000 0.0993184 48.689 1.715
70 30000 0.0914519 49.074 1.71
80 30000 0.0870549 50.827 1.712
130 10000 0.128588 52.19 0.527
110 20000 0.0987921 55.508 1.056
140 1000 0.295003 55.87 0.087
20 35000 0.11731 56.649 2.116
30 35000 0.105393 62.743 2.007
40 35000 0.0922832 64.169 2.018
60 35000 0.0898372 65.748 2.033
90 30000 0.0815627 65.848 1.942
140 2000 0.237808 66.488 0.134
140 5000 0.175873 66.6 0.278
50 35000 0.0907948 69.996 2.023
100 25000 0.0884121 72.249 1.601
80 35000 0.0815975 72.808 2.023
150 1000 0.268196 77.336 0.088
100 30000 0.0786081 78.724 1.834
140 7500 0.145298 78.946 0.414
120 20000 0.0935654 79.032 1.053
70 35000 0.0850257 80.5 2.022
140 10000 0.124076 84.148 0.54
150 5000 0.169077 87.117 0.278
90 35000 0.0771075 87.544 2.217
150 2000 0.219573 88.348 0.141
100 35000 0.0740819 91.165 2.057
150 10000 0.118133 107.102 0.542
150 7500 0.138505 107.162 0.407
130 20000 0.0913042 108.54 1.058
160 1000 0.249732 108.601 0.09
140 20000 0.0872089 110.484 1.092
160 5000 0.164322 130.889 0.284
160 2000 0.206183 131.233 0.137
160 7500 0.13473 144.56 0.409
160 10000 0.114137 147.347 0.547
170 1000 0.22465 153.572 0.099
170 2000 0.189466 153.572 0.144
170 5000 0.155935 157.348 0.288
160 20000 0.0819784 171.118 1.089
170 7500 0.128319 171.22 0.398
170 10000 0.11162 199.009 0.554
180 1000 0.20506 213.064 0.095
150 20000 0.0850464 230.981 1.097
180 7500 0.120679 240.123 0.411
180 2000 0.175963 244.927 0.153
170 20000 0.0798364 245.224 1.153
180 5000 0.147842 247.702 0.292
190 1000 0.183905 255.362 0.106
180 10000 0.106554 256.087 0.533
190 2000 0.159701 275.419 0.15
190 5000 0.140962 289.165 0.291
180 20000 0.0767727 295.587 1.077
190 7500 0.11608 329.574 0.416
190 10000 0.101028 333.332 0.525
200 1000 0.161898 359.44 0.103
200 2000 0.144627 367.886 0.151
200 5000 0.132017 415.544 0.293
190 20000 0.0743214 417.773 1.057
200 25000 0.0671598 539.562 1.467
200 30000 0.0594748 572.306 1.764
200 35000 0.0573959 803.352 2.072
