file & heat
auto (151x151) & auto (2000) & None & None & auto (50000) & [-0.0066457560, 0.0040486123] (52.02\%) & 1m2s & sdp+auto100-z, 99.7% \\ \hline
None & None  & None & None & auto (50000) & [-0.0086920480, 0.0050036657] (66.62\%) & 2.81s & auto200-z, 95% \\ \hline
None & None  & None & None & auto (50000) & [-0.0087565168, 0.0050681345] (67.25\%) & 2.96s & auto200-z, 99.7% \\ \hline
auto (151x151) & auto (2000) & None & None & auto (50000) & [-0.0067784983, 0.0040497108] (52.67\%) & 59.48s & sdp+auto200-z, 95% \\ \hline
auto (151x151) & auto (2000) & None & None & auto (50000) & [-0.0073986846, 0.0040498765] (55.69\%) & 59.42s & sdp+auto200-z, 99.7% \\ \hline
None & None  & None & None & auto (50000) & [-0.0086920480, 0.0050036657] (66.62\%) & 2.33s & first50-z, 95% \\ \hline
None & None  & None & None & auto (50000) & [-0.0087565168, 0.0050681345] (67.25\%) & 2.90s & first50-z, 99.7% \\ \hline
auto (151x151) & auto (2000) & None & None & auto (50000) & [-0.0045302805, 0.0040496505] (41.74\%) & 1m5s & sdp+first50-z, 95% \\ \hline
auto (151x151) & auto (2000) & None & None & auto (50000) & [-0.0050460460, 0.0040474624] (44.23\%) & 1m1s & sdp+first50-z, 99.7% \\ \hline
None & None  & None & None & auto (50000) & [-0.0086920480, 0.0050036657] (66.62\%) & 2.81s & first100-z, 95% \\ \hline
None & None  & None & None & auto (50000) & [-0.0087565168, 0.0050681345] (67.25\%) & 2.90s & first100-z, 99.7% \\ \hline
auto (151x151) & auto (2000) & None & None & auto (50000) & [-0.0059445047, 0.0040483905] (48.61\%) & 1m0s & sdp+first100-z, 95% \\ \hline
auto (151x151) & auto (2000) & None & None & auto (50000) & [-0.0064771526, 0.0040492631] (51.20\%) & 59.73s & sdp+first100-z, 99.7% \\ \hline
None & None  & None & None & auto (50000) & [-0.0086920480, 0.0050036657] (66.62\%) & 2.86s & first200-z, 95% \\ \hline
None & None  & None & None & auto (50000) & [-0.0087565168, 0.0050681345] (67.25\%) & 2.87s & first200-z, 99.7% \\ \hline
auto (151x151) & auto (2000) & None & None & auto (50000) & [-0.0069072945, 0.0040496888] (53.30\%) & 59.99s & sdp+first200-z, 95% \\ \hline
auto (151x151) & auto (2000) & None & None & auto (50000) & [-0.0075318260, 0.0040503311] (56.34\%) & 1m0s & sdp+first200-z, 99.7% \\ \hline
None & None  & None & None & onlyobj (50000) & [-0.0084078642, 0.0048224034] (64.36\%) & 2.28s & onlyobj-z, 95% \\ \hline
None & None  & None & None & onlyobj (50000) & [-0.0084371215, 0.0048516607] (64.64\%) & 2.31s & onlyobj-z, 99.7% \\ \hline
