file & energy
auto (151x151) & None  & None & None & [-1.1324556795, 1.1324556795] (67.95\%) & 52.76s & sdp \\ \hline
auto (151x151) & None  & None & None & all order-2 (10000) & [-1.1324532362, 0.4987425263] (48.94\%) & 45.07s & sdp+all2, 99.7% \\ \hline
auto (151x151) & None  & None & None & auto (10000) & [-1.1276447733, 0.7833824508] (57.33\%) & 57.29s & sdp+auto100, 99.7% \\ \hline
auto (151x151) & None  & None & None & onlyobj (10000) & [-1.1324363403, -0.7661042176] (10.99\%) & 44.17s & sdp+onlyobj, 99.7% \\ \hline
auto (151x151) & None  & None & None & all order-2 (10000) & [-1.1321308031, 0.4273139549] (46.78\%) & 42.38s & sdp+all2, 99.7% \\ \hline
auto (151x151) & None  & None & None & auto (10000) & [-1.1259828402, 0.7822276188] (57.25\%) & 54.61s & sdp+auto100, 99.7% \\ \hline
auto (151x151) & None  & None & None & onlyobj (10000) & [-1.1324497839, -0.7630696727] (11.08\%) & 43.21s & sdp+onlyobj, 99.7% \\ \hline
auto (151x151) & None  & None & None & all order-2 (10000) & [-1.1324557901, 0.3836631585] (45.48\%) & 47.15s & sdp+all2, 99.7% \\ \hline
auto (151x151) & None  & None & None & auto (10000) & [-1.1255583829, 0.7510843243] (56.30\%) & 58.36s & sdp+auto100, 99.7% \\ \hline
auto (151x151) & None  & None & None & onlyobj (10000) & [-1.1324560306, -0.7796429665] (10.58\%) & 44.10s & sdp+onlyobj, 99.7% \\ \hline
auto (151x151) & None  & None & None & all order-2 (10000) & [-1.1313218810, 0.5085775303] (49.20\%) & 49.08s & sdp+all2, 99.7% \\ \hline
auto (151x151) & None  & None & None & auto (10000) & [-1.1254592287, 0.7846310435] (57.30\%) & 54.62s & sdp+auto100, 99.7% \\ \hline
auto (151x151) & None  & None & None & onlyobj (10000) & [-1.1324561166, -0.7791761325] (10.60\%) & 43.75s & sdp+onlyobj, 99.7% \\ \hline
auto (151x151) & None  & None & None & all order-2 (10000) & [-1.1324558875, 0.4114409391] (46.32\%) & 43.24s & sdp+all2, 99.7% \\ \hline
auto (151x151) & None  & None & None & auto (10000) & [-1.1253300488, 0.8039586906] (57.88\%) & 54.0s & sdp+auto100, 99.7% \\ \hline
auto (151x151) & None  & None & None & onlyobj (10000) & [-1.1309130435, -0.7469632279] (11.52\%) & 43.58s & sdp+onlyobj, 99.7% \\ \hline
auto (151x151) & None  & None & None & all order-2 (10000) & [-1.1324556137, 0.5344562959] (50.01\%) & 45.42s & sdp+all2, 99.7% \\ \hline
auto (151x151) & None  & None & None & auto (10000) & [-1.1269645104, 0.7897677003] (57.50\%) & 55.01s & sdp+auto100, 99.7% \\ \hline
auto (151x151) & None  & None & None & onlyobj (10000) & [-1.1318485362, -0.7591014165] (11.18\%) & 45.43s & sdp+onlyobj, 99.7% \\ \hline
auto (151x151) & None  & None & None & all order-2 (10000) & [-1.1282849451, 0.3915996691] (45.60\%) & 46.31s & sdp+all2, 99.7% \\ \hline
auto (151x151) & None  & None & None & auto (10000) & [-1.1256616487, 0.8046240752] (57.91\%) & 54.74s & sdp+auto100, 99.7% \\ \hline
auto (151x151) & None  & None & None & onlyobj (10000) & [-1.1324558149, -0.7843115145] (10.44\%) & 43.40s & sdp+onlyobj, 99.7% \\ \hline
auto (151x151) & None  & None & None & all order-2 (10000) & [-1.1324551824, 0.4960809879] (48.86\%) & 45.87s & sdp+all2, 99.7% \\ \hline
auto (151x151) & None  & None & None & auto (10000) & [-1.1249836317, 0.7663719083] (56.74\%) & 55.50s & sdp+auto100, 99.7% \\ \hline
auto (151x151) & None  & None & None & onlyobj (10000) & [-1.1324557288, -0.7766084194] (10.68\%) & 44.30s & sdp+onlyobj, 99.7% \\ \hline
auto (151x151) & None  & None & None & all order-2 (10000) & [-1.1324559686, 0.4749330026] (48.22\%) & 44.80s & sdp+all2, 99.7% \\ \hline
auto (151x151) & None  & None & None & auto (10000) & [-1.1236218756, 0.7903817609] (57.42\%) & 53.67s & sdp+auto100, 99.7% \\ \hline
auto (151x151) & None  & None & None & onlyobj (10000) & [-1.1324557062, -0.7600351375] (11.17\%) & 44.10s & sdp+onlyobj, 99.7% \\ \hline
auto (151x151) & None  & None & None & all order-2 (10000) & [-1.1324562327, 0.4847881142] (48.52\%) & 50.11s & sdp+all2, 99.7% \\ \hline
auto (151x151) & None  & None & None & auto (10000) & [-1.1262543302, 0.8154149085] (58.25\%) & 56.63s & sdp+auto100, 99.7% \\ \hline
auto (151x151) & None  & None & None & onlyobj (10000) & [-1.1323313282, -0.7607354397] (11.15\%) & 44.91s & sdp+onlyobj, 99.7% \\ \hline
auto (151x151) & None  & None & None & all order-2 (10000) & [-1.1318882436, 0.5490907417] (50.43\%) & 50.16s & sdp+all2, 99.7% \\ \hline
auto (151x151) & None  & None & None & auto (10000) & [-1.1259103096, 0.7926975255] (57.56\%) & 53.20s & sdp+auto100, 99.7% \\ \hline
auto (151x151) & None  & None & None & onlyobj (10000) & [-1.1324552145, -0.7712396051] (10.84\%) & 42.10s & sdp+onlyobj, 99.7% \\ \hline
auto (151x151) & None  & None & None & all order-2 (10000) & [-1.1324555640, 0.4352504629] (47.03\%) & 42.50s & sdp+all2, 99.7% \\ \hline
auto (151x151) & None  & None & None & auto (10000) & [-1.1269758884, 0.7872991830] (57.43\%) & 56.58s & sdp+auto100, 99.7% \\ \hline
auto (151x151) & None  & None & None & onlyobj (10000) & [-1.1324558958, -0.7698390449] (10.88\%) & 44.81s & sdp+onlyobj, 99.7% \\ \hline
auto (151x151) & None  & None & None & all order-2 (10000) & [-1.1324561171, 0.4260749118] (46.76\%) & 48.72s & sdp+all2, 99.7% \\ \hline
auto (151x151) & None  & None & None & auto (10000) & [-1.1256431202, 0.7609520056] (56.60\%) & 55.24s & sdp+auto100, 99.7% \\ \hline
auto (151x151) & None  & None & None & onlyobj (10000) & [-1.1324551536, -0.7693721915] (10.89\%) & 44.43s & sdp+onlyobj, 99.7% \\ \hline
auto (151x151) & None  & None & None & all order-2 (10000) & [-1.1324560704, 0.4590599867] (47.75\%) & 47.34s & sdp+all2, 99.7% \\ \hline
auto (151x151) & None  & None & None & auto (10000) & [-1.1249336156, 0.7849132313] (57.30\%) & 56.26s & sdp+auto100, 99.7% \\ \hline
auto (151x151) & None  & None & None & onlyobj (10000) & [-1.1324560672, -0.7770752786] (10.66\%) & 44.24s & sdp+onlyobj, 99.7% \\ \hline
auto (151x151) & None  & None & None & all order-2 (10000) & [-1.1324557289, 0.4895670979] (48.66\%) & 46.33s & sdp+all2, 99.7% \\ \hline
auto (151x151) & None  & None & None & auto (10000) & [-1.1271269383, 0.7760537517] (57.10\%) & 53.16s & sdp+auto100, 99.7% \\ \hline
auto (151x151) & None  & None & None & onlyobj (10000) & [-1.1324365014, -0.7668044978] (10.97\%) & 44.90s & sdp+onlyobj, 99.7% \\ \hline
auto (151x151) & None  & None & None & all order-2 (10000) & [-1.1299587664, 0.4511234473] (47.43\%) & 44.14s & sdp+all2, 99.7% \\ \hline
auto (151x151) & None  & None & None & auto (10000) & [-1.1272859686, 0.7762883659] (57.11\%) & 55.86s & sdp+auto100, 99.7% \\ \hline
auto (151x151) & None  & None & None & onlyobj (10000) & [-1.1318572842, -0.7565337228] (11.26\%) & 45.75s & sdp+onlyobj, 99.7% \\ \hline
auto (151x151) & None  & None & None & all order-2 (10000) & [-1.1324441357, 0.5213131303] (49.61\%) & 50.13s & sdp+all2, 99.7% \\ \hline
auto (151x151) & None  & None & None & auto (10000) & [-1.1244643449, 0.8042475744] (57.86\%) & 55.93s & sdp+auto100, 99.7% \\ \hline
auto (151x151) & None  & None & None & onlyobj (10000) & [-1.1320517158, -0.7656373642] (10.99\%) & 44.16s & sdp+onlyobj, 99.7% \\ \hline
auto (151x151) & None  & None & None & all order-2 (10000) & [-1.1324548173, 0.4709647486] (48.10\%) & 43.32s & sdp+all2, 99.7% \\ \hline
auto (151x151) & None  & None & None & auto (10000) & [-1.1247982625, 0.8067790842] (57.95\%) & 54.27s & sdp+auto100, 99.7% \\ \hline
auto (151x151) & None  & None & None & onlyobj (10000) & [-1.1321809666, -0.7525654917] (11.39\%) & 43.70s & sdp+onlyobj, 99.7% \\ \hline
auto (151x151) & None  & None & None & all order-2 (10000) & [-1.1324553009, 0.4074724998] (46.20\%) & 41.26s & sdp+all2, 99.7% \\ \hline
