2 1 2 6
3 1 3 15
4 1 4 28
1 3 3 30
5 1 5 45
6 1 6 66
2 2 4 126
10 1 10 190
1 5 5 510
1 6 6 2046 
2 3 6 2046 
3 2 6 2046
2 4 8 32766
4 2 8 32766
3 3 9 131070
2 5 10 524286
5 2 10 524286


