0.1 -0.00340604 -0.00340604
0.2 -0.0188692 -0.0188692
0.3 -0.0568879 -0.0568879
0.4 -0.121695 -0.121695
0.5 -0.206791 -0.206791
0.6 -0.300246 -0.300246
0.7 -0.391561 -0.391561
0.8 -0.474527 -0.474527
0.9 -0.546753 -0.546753
1.0 -0.608175 -0.608175
1.1 -0.659827 -0.659827
1.2 -0.703099 -0.703099
1.3 -0.739374 -0.739374
1.4 -0.769883 -0.769883
1.5 -0.795664 -0.795664
1.6 -0.817568 -0.817568
1.7 -0.836286 -0.836286
1.8 -0.852374 -0.852374
1.9 -0.866282 -0.866282
2.0 -0.87837 -0.87837
2.1 -0.888933 -0.888933
2.2 -0.89821 -0.89821
2.3 -0.906395 -0.906395
2.4 -0.91365 -0.91365
2.5 -0.920107 -0.920107
2.6 -0.925878 -0.925878
2.7 -0.931055 -0.931055
2.8 -0.935714 -0.935714
2.9 -0.939923 -0.939923
3.0 -0.943736 -0.943736
